Axial load,Potentiometer reading
0.00,46.01
14.65,46.08
27.08,46.15
37.55,46.22
46.38,46.29
53.85,46.37
60.24,46.44
65.83,46.52
70.39,46.60
74.76,46.68
78.23,46.75
81.59,46.83
84.39,46.91
87.20,46.99
89.56,47.07
91.59,47.15
93.54,47.23
95.22,47.30
96.85,47.38
98.35,47.46
99.75,47.54
101.23,47.62
102.33,47.70
103.45,47.78
104.59,47.86
105.47,47.93
106.48,48.01
107.14,48.09
108.05,48.17
108.81,48.25
109.38,48.33
109.79,48.41
109.99,48.49
110.17,48.57
110.45,48.65
110.26,48.73
110.36,48.81
110.23,48.89
110.28,48.97
110.12,49.05
110.26,49.13
110.09,49.20
109.91,49.28
110.02,49.36
109.93,49.44
109.84,49.52
109.76,49.60
109.57,49.68
109.47,49.76
109.47,49.84
109.18,49.92
109.04,49.99
108.86,50.08
108.63,50.16
108.22,50.24
107.62,50.33
107.32,50.41
106.97,50.49
106.42,50.57
106.05,50.66
105.38,50.74
104.91,50.82
104.51,50.90
104.09,50.98
103.47,51.06
102.95,51.14
102.43,51.22
102.02,51.30
101.31,51.38
101.01,51.46
100.41,51.54
99.92,51.62
99.43,51.70
98.84,51.78
98.56,51.86
97.88,51.94
97.60,52.02
96.92,52.10
96.54,52.18
95.96,52.26
95.68,52.34
95.11,52.42
94.54,52.50
94.16,52.57
93.79,52.65
93.12,52.73
92.75,52.81
92.28,52.89
91.70,52.97
91.43,53.05
90.75,53.13
90.48,53.21
89.92,53.29
89.45,53.37
88.89,53.45
88.44,53.53
88.08,53.61
87.73,53.69
87.19,53.77
86.65,53.85
86.41,53.93
85.98,54.01
85.55,54.09
85.12,54.17
84.70,54.25
84.09,54.33
83.77,54.41
83.46,54.49
82.86,54.57
82.46,54.65
82.06,54.72
81.77,54.80
81.28,54.88
80.89,54.96
80.70,55.04
80.22,55.12
79.75,55.20
79.47,55.28
79.10,55.36
78.83,55.44
78.46,55.52
77.99,55.60
77.73,55.68
77.27,55.76
77.00,55.84
76.45,55.92
76.19,56.00
75.94,56.08
75.59,56.16
75.15,56.23
74.90,56.31
74.56,56.39
74.23,56.47
73.79,56.55
73.56,56.63
73.03,56.71
72.91,56.79
72.38,56.86
72.16,56.94
71.74,57.02
71.63,57.10
71.11,57.18
70.80,57.26
70.69,57.34
70.19,57.42
69.88,57.49
69.78,57.57
69.38,57.65
69.08,57.73
68.78,57.81
68.39,57.91
