Axial load,Potentiometer reading
0.0000,49.3700
0.6735,49.3680
1.1203,49.3666
1.5593,49.3652
1.9909,49.3637
2.4152,49.3623
2.8322,49.3609
3.2419,49.3594
3.6443,49.3579
4.0394,49.3564
4.4274,49.3549
4.8082,49.3534
5.1819,49.3519
5.5486,49.3503
5.9084,49.3488
6.2613,49.3472
6.6074,49.3457
6.9469,49.3441
7.2797,49.3425
7.6061,49.3409
7.9261,49.3393
8.2398,49.3377
8.5474,49.3361
8.8488,49.3344
9.1444,49.3328
9.4341,49.3312
9.7181,49.3295
9.9964,49.3279
10.2693,49.3262
10.5368,49.3245
10.7991,49.3228
11.0562,49.3212
11.3082,49.3195
11.5553,49.3178
11.7976,49.3161
12.0352,49.3144
12.2682,49.3127
12.4967,49.3110
12.7209,49.3093
12.9407,49.3076
13.1563,49.3059
13.3679,49.3041
13.5754,49.3024
13.7791,49.3007
13.9789,49.2990
14.1750,49.2972
14.3675,49.2955
14.5565,49.2938
14.7420,49.2920
14.9241,49.2903
15.1030,49.2885
15.2786,49.2868
15.4511,49.2851
15.6205,49.2833
15.7869,49.2815
15.9505,49.2798
16.1111,49.2780
16.2690,49.2763
16.4242,49.2745
16.5767,49.2728
16.7266,49.2710
16.8740,49.2692
17.0189,49.2675
17.1614,49.2657
17.3015,49.2639
17.4393,49.2622
17.5749,49.2604
17.7083,49.2586
17.8395,49.2569
17.9686,49.2551
18.0957,49.2533
18.2208,49.2515
18.3438,49.2498
18.4650,49.2480
18.5843,49.2462
18.7018,49.2444
18.8174,49.2427
18.9313,49.2409
19.0435,49.2391
19.1540,49.2373
19.2628,49.2355
19.3701,49.2338
19.4757,49.2320
19.5798,49.2302
19.6824,49.2284
19.7836,49.2266
19.8832,49.2248
19.9815,49.2230
20.0783,49.2213
20.1738,49.2195
20.2680,49.2177
20.3608,49.2159
20.4524,49.2141
20.5427,49.2123
20.6318,49.2105
20.7197,49.2087
20.8064,49.2070
20.8919,49.2052
20.9763,49.2034
21.0596,49.2016
21.1418,49.1998
21.2229,49.1980
21.3029,49.1962
21.3820,49.1944
21.4600,49.1926
21.5370,49.1908
21.6131,49.1890
21.6881,49.1872
21.7623,49.1855
21.8355,49.1837
21.9078,49.1819
21.9793,49.1801
22.0498,49.1783
22.1195,49.1765
22.1884,49.1747
22.2564,49.1729
22.3236,49.1711
22.3900,49.1693
22.4557,49.1675
22.5205,49.1657
22.5846,49.1639
22.6480,49.1621
22.7106,49.1603
22.7725,49.1585
22.8337,49.1567
22.8942,49.1549
22.9541,49.1531
23.0132,49.1513
23.0717,49.1495
23.1295,49.1477
23.1867,49.1460
23.2433,49.1442
23.2992,49.1424
23.3546,49.1406
23.4093,49.1388
23.4635,49.1370
23.5170,49.1352
23.5700,49.1334
23.6225,49.1316
23.6743,49.1298
23.7257,49.1280
23.7765,49.1262
23.8267,49.1244
23.8765,49.1226
23.9257,49.1208
23.9745,49.1190
24.0227,49.1172
24.0705,49.1154
24.1177,49.1136
24.1645,49.1118
24.2109,49.1100
24.2567,49.1082
24.3021,49.1064
24.3471,49.1046
24.3916,49.1028
24.4357,49.1010
24.4794,49.0992
24.5226,49.0974
24.5655,49.0956
24.6079,49.0938
24.6499,49.0920
24.6915,49.0902
24.7327,49.0884
24.7736,49.0866
24.8140,49.0848
24.8541,49.0830
24.8938,49.0812
24.9332,49.0794
24.9721,49.0776
25.0108,49.0758
25.0490,49.0740
25.0869,49.0722
25.1245,49.0704
25.1618,49.0686
25.1987,49.0668
25.2353,49.0650
25.2715,49.0632
25.3075,49.0614
25.3431,49.0596
25.3784,49.0578
25.4134,49.0560
25.4481,49.0542
25.4825,49.0524
25.5166,49.0506
25.5505,49.0488
25.5840,49.0470
25.6172,49.0452
25.6502,49.0434
25.6829,49.0416
25.7153,49.0398
25.7474,49.0380
25.7793,49.0361
25.8109,49.0343
25.8423,49.0325
25.8733,49.0307
25.9042,49.0289
25.9348,49.0271
25.9651,49.0253
25.9952,49.0235
26.0251,49.0217
26.0547,49.0199
26.0840,49.0181
26.1132,49.0163
26.1421,49.0145
26.1708,49.0127
26.1992,49.0109
26.2275,49.0091
26.2555,49.0073
26.2833,49.0055
26.3109,49.0037
26.3382,49.0019
26.3654,49.0001
26.3923,48.9983
26.4191,48.9965
26.4456,48.9947
26.4720,48.9929
26.4981,48.9911
26.5241,48.9893
26.5498,48.9875
26.5754,48.9857
26.6007,48.9839
26.6259,48.9821
26.6509,48.9803
26.6757,48.9785
26.7004,48.9767
26.7248,48.9749
26.7491,48.9731
26.7732,48.9713
26.7971,48.9695
26.8209,48.9677
26.8445,48.9659
26.8679,48.9641
26.8911,48.9623
26.9142,48.9605
26.9371,48.9587
26.9599,48.9569
26.9825,48.9551
27.0049,48.9532
27.0272,48.9514
27.0494,48.9496
27.0713,48.9478
27.0932,48.9460
27.1148,48.9442
27.1364,48.9424
27.1578,48.9406
27.1790,48.9388
27.2001,48.9370
27.2210,48.9352
27.2419,48.9334
27.2625,48.9316
27.2831,48.9298
27.3035,48.9280
27.3237,48.9262
27.3438,48.9244
27.3638,48.9226
27.3837,48.9208
27.4034,48.9190
27.4230,48.9172
27.4425,48.9154
27.4619,48.9136
27.4811,48.9118
27.5002,48.9100
27.5192,48.9082
27.5380,48.9064
27.5567,48.9046
27.5754,48.9028
27.5939,48.9010
27.6122,48.8992
27.6305,48.8974
27.6487,48.8956
27.6667,48.8938
27.6846,48.8920
27.7024,48.8901
27.7201,48.8883
27.7377,48.8865
27.7552,48.8847
27.7726,48.8829
27.7898,48.8811
27.8070,48.8793
27.8241,48.8775
27.8410,48.8757
27.8579,48.8739
27.8746,48.8721
27.8913,48.8703
27.9078,48.8685
27.9243,48.8667
27.9406,48.8649
27.9569,48.8631
27.9730,48.8613
27.9891,48.8595
28.0051,48.8577
28.0210,48.8559
28.0367,48.8541
28.0524,48.8523
28.0680,48.8505
28.0835,48.8487
28.0989,48.8469
28.1143,48.8451
28.1295,48.8433
28.1447,48.8415
28.1597,48.8397
28.1747,48.8379
28.1896,48.8361
28.2044,48.8343
28.2191,48.8325
28.2338,48.8306
28.2483,48.8288
28.2628,48.8270
28.2772,48.8252
28.2915,48.8234
28.3058,48.8216
28.3199,48.8198
28.3340,48.8180
28.3480,48.8162
28.3619,48.8144
28.3758,48.8126
28.3896,48.8108
28.4033,48.8090
28.4169,48.8072
28.4304,48.8054
28.4439,48.8036
28.4573,48.8018
28.4706,48.8000
28.4839,48.7982
28.4971,48.7964
28.5102,48.7946
28.5232,48.7928
28.5362,48.7910
28.5491,48.7892
28.5620,48.7874
